# lat_deg,lat_min,long_deg,long_min,bearing,speed
42,16.596,-83,-44.292,114.9522327,0.00009861
42,16.596,-83,-44.292,114.1418799,0.00020227
42,16.596,-83,-44.292,113.2959799,0.00030964
42,16.596,-83,-44.29199999,113.7348107,0.00041964
42,16.596,-83,-44.29199999,112.8369406,0.00052999
42,16.596,-83,-44.29199999,112.4188474,0.00064102
42,16.59599999,-83,-44.29199998,112.4302188,0.00087749
42,16.59599999,-83,-44.29199997,112.2705677,0.00100147
42,16.59599999,-83,-44.29199997,113.358097,0.00113303
42,16.59599999,-83,-44.29199996,114.4654709,0.00126756
42,16.59599999,-83,-44.29199996,113.4141228,0.00140558
42,16.59599998,-83,-44.29199995,112.7793477,0.00154722
42,16.59599998,-83,-44.29199993,113.40005,0.00183697
42,16.59599998,-83,-44.29199992,113.1106373,0.0019838
42,16.59599997,-83,-44.29199991,112.2572298,0.00213206
42,16.59599997,-83,-44.2919999,112.0049377,0.0022795
42,16.59599996,-83,-44.29199989,112.1549171,0.00242791
42,16.59599996,-83,-44.29199986,114.4294806,0.00272642
42,16.59599995,-83,-44.29199985,113.759055,0.00287586
42,16.59599995,-83,-44.29199983,113.4426802,0.00302392
42,16.59599994,-83,-44.29199982,114.163642,0.0031719
42,16.59599994,-83,-44.2919998,113.9924337,0.00332108
42,16.59599993,-83,-44.29199979,113.1590475,0.00347
42,16.59599992,-83,-44.29199975,111.1042007,0.00376632
42,16.59599992,-83,-44.29199973,112.0700683,0.00391475
42,16.59599991,-83,-44.29199971,112.9451025,0.00406343
42,16.5959999,-83,-44.29199969,113.1307968,0.00421041
42,16.5959999,-83,-44.29199967,113.1365383,0.00435607
42,16.59599988,-83,-44.29199963,114.3486796,0.00465225
42,16.59599988,-83,-44.2919996,113.5088588,0.00479986
42,16.59599987,-83,-44.29199958,112.1825634,0.0049466
42,16.59599986,-83,-44.29199956,111.9312824,0.0050935
42,16.59599985,-83,-44.29199953,111.0949843,0.0052398
42,16.59599985,-83,-44.2919995,110.5864538,0.0053843
42,16.59599983,-83,-44.29199945,111.238817,0.00567561
